title,rating
Bhool Bhulaiyaa,7.3
Trespass,5.3
Dancing Queen,7
null,7.4
Trailer Park Boys: Say Goodnight to the Bad Guys,7.9
Interstellar,8.6
Sword Art Online Extra Edition,6.3
Ringu,7.2
null,5.5
Boogeyman,4.2
Motherland,7.1
null,6.3
Woman of Dignity,7.6
The Adventures of Pluto Nash,3.8
The Jack King Affair,6
null,8.1
The Blind Christ,5.9
TAU,5.8
Loving Vincent,7.8
null,7.2
3:10 to Yuma,7.7
Bromance,7.8
The Ballad of Buster Scruggs,7.3
Alley Cat,6.5
Futmalls.com,6.6
The Adventures of Sharkboy and Lavagirl,3.7
Astro Boy,6.3
Susanne Bartsch: On Top,6.7
Earth to Echo,5.8
Addicted to Life,0
null,6.8
Billy on the Street,7.8
The Land Before Time II: The Great Valley Adventure,6
Captain America: Civil War,7.8
Transformers: The Last Knight,5.2
Hyperdrive,8.1
Who's That Knocking at My Door,6.6
Max Rose,0
A Place in the Stars,6.2
Ryuichi Sakamoto: async at the Park Avenue Armory,7.2
The Midas Touch,5
Build New World: Kamen Rider Cross-Z,7.5
Atelier,0
Therapy,0
Girl from Nowhere,7.7
??? ????????? -???????- DC,0
Rainbow Ruby,6.5
Fan of Amoory,5.6
Doctor X Surgeon Michiko Daimon,6.9
Kaake Da Viyah,5.1
Match,4.1
null,3.4
RESIDENT EVIL: Infinite Darkness,5.8
Meet the Trumps: From Immigrant to President,4.9
The Best Man Holiday,6.7
Skull-face Bookseller Honda-san,6.7
An Education,7.3
The Black Room,3.3
Crazy Awesome Teachers,6.3
Event Horizon,6.7
Taxi Driver,8.2
Gintama,6.1
Glitch Techs,7.7
Doctor Bello,4.8
New Money,5
Kinmoza!,6.7
Crazy people,4.7
Alelí,6.3
null,5.7
The Remix: Hip Hop X Fashion,7.2
Killer Cove,4.4
Alexander Revisited: The Final Cut,0
2 Fast 2 Furious,5.9
Monty Python: Live at Aspen,7.9
Naga the Eternal Yogi,7.2
True Memoirs of an International Assassin,5.9
40 Days and 40 Nights,5.6
Pandemic: How to Prevent an Outbreak,6.4
Strong,7.5
Love,6.1
Then Came You,7
El señor de los Cielos,6.9
The Bad Kids,7
Some Assembly Required,3.9
Still 17,7.8
Drop,0
Gangs of Wasseypur: Part 1,8.2
null,7.3
Potato Potahto,4.3
Flower Crew: Joseon Marriage Agency,6.9
Tron - O Legado,6.8
5 to 7,7.1
Out of Life,6.9
?? ELLE,7.1
Karakuri Circus,7.2
Paper Year,5.2
null,6.9
National Lampoon's Christmas Vacation,7.6
Churchill’s Secret Agents: The New Recruits,7.8
Shameless,8
A Cinderella Story,5.9
Pretty Smart,5.7
Professor Marston and the Wonder Women,7.1
Netflix Originals Emmy Winners,0
null,4.8
Brahman Naman,5.6
Todd Glass: Stand-Up Special,6.3
Inventing Anna,6.9
Chalte Chalte,6.6
Dharam Sankat Mein,6.3
"10,000 BC",5.1
null,6.8
Superfast!,4.1
Dinosaur King,5.8
Cherry Returns,4.8
The Spy Who Fell to Earth,6.6
null,5.2
The Standups,6.7
LoliRock,7.4
Life Story,9
null,8
"Sincerely Yours, Dhaka",7
Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,7.1
Mob Psycho 100,8.6
Fary: Hexagone,6.5
