date_added,week,category,show_title,season_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed
2022-06-28,2022-06-26,Films (English),Hustle,null,3,3,26050000
2022-04-26,2022-04-24,TV (Non-English),Heirs to the Land,Heirs to the Land: Season 1,5,2,18840000
2022-06-14,2022-06-12,Films (English),A Perfect Pairing,null,6,4,7130000
2022-06-28,2022-06-26,Films (English),The Man from Toronto,null,1,1,53890000
2022-04-12,2022-04-10,Films (Non-English),Furioza,null,1,1,23960000
2022-06-21,2022-06-19,Films (Non-English),CBI 5: The Brain,null,4,2,6090000
2022-05-03,2022-05-01,TV (English),The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 1,8,4,13140000
2022-05-03,2022-05-01,Films (English),The Mystery of Marilyn Monroe: The Unheard Tapes,null,3,1,15360000
2022-05-03,2022-05-01,TV (English),Bridgerton,Bridgerton: Season 2,4,6,29740000
2022-06-21,2022-06-19,Films (English),A Perfect Pairing,null,9,5,4440000
2022-04-12,2022-04-10,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",6,18,10590000
2022-06-28,2022-06-26,Films (Non-English),Doom of Love,null,5,1,5920000
2022-05-10,2022-05-08,TV (Non-English),Our Blues,Our Blues: Season 1,6,2,10370000
2022-04-19,2022-04-17,Films (English),The In Between,null,1,2,35900000
2022-05-17,2022-05-15,TV (English),Grace and Frankie,Grace and Frankie: Season 7,6,3,12260000
2022-06-14,2022-06-12,TV (English),Stranger Things,Stranger Things 2,2,3,51420000
2022-05-17,2022-05-15,Films (Non-English),The Getaway King,null,8,1,3240000
2022-06-14,2022-06-12,TV (Non-English),Wrong Side of the Tracks,Wrong Side of the Tracks: Season 1,1,4,19400000
2022-05-17,2022-05-15,Films (Non-English),The Perfect Family,null,2,1,21590000
2022-04-26,2022-04-24,TV (Non-English),The Marked Heart,The Marked Heart: Season 1,1,1,68040000
2022-06-14,2022-06-12,TV (Non-English),"Malverde, El Santo Patron",null,6,1,12370000
2022-04-05,2022-04-03,TV (English),Is It Cake?,Is It Cake?: Season 1,3,2,26510000
2022-06-21,2022-06-19,Films (English),Chickenhare and the Hamster of Darkness,null,3,2,23750000
2022-05-24,2022-05-22,TV (Non-English),My Liberation Notes,My Liberation Notes: Season 1,9,1,0
2022-05-31,2022-05-29,Films (Non-English),Toolsidas Junior,null,10,1,2960000
2022-05-10,2022-05-08,Films (Non-English),The Takedown,null,1,1,27090000
2022-06-14,2022-06-12,Films (Non-English),F*ck Love Too,null,7,4,2010000
2022-06-07,2022-06-05,TV (Non-English),The Perfect Mother,The Perfect Mother: Season 1,5,1,12090000
2022-04-12,2022-04-10,Films (English),Enough,null,7,1,5790000
2022-04-19,2022-04-17,TV (Non-English),Elite,Elite: Season 1,9,2,10110000
2022-04-05,2022-04-03,TV (English),PIECES OF HER,PIECES OF HER: Season 1,7,5,16220000
2022-04-26,2022-04-24,Films (English),The Vault,null,8,2,6620000
2022-06-21,2022-06-19,TV (English),Stranger Things,Stranger Things 3,4,4,38900000
2022-05-03,2022-05-01,TV (Non-English),Hold Tight,Hold Tight: Limited Series,2,2,25120000
2022-06-28,2022-06-26,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",3,28,12570000
2022-06-21,2022-06-19,Films (English),Interceptor,null,5,3,13110000
2022-04-12,2022-04-10,Films (English),Shrek,null,9,5,5340000
2022-06-21,2022-06-19,Films (Non-English),Centauro,null,2,1,13870000
2022-04-19,2022-04-17,TV (English),Bridgerton,Bridgerton: Season 2,1,4,66610000
2022-06-28,2022-06-26,Films (Non-English),RRR (Hindi),null,7,6,2920000
2022-04-05,2022-04-03,TV (Non-English),The Queen of Flow,The Queen of Flow: Season 2,9,16,6640000
2022-05-03,2022-05-01,TV (English),Bridgerton,Bridgerton: Season 1,9,6,12130000
2022-04-12,2022-04-10,Films (Non-English),All Hail,null,2,2,13300000
2022-05-31,2022-05-29,Films (Non-English),Gangubai Kathiawadi,null,7,5,4840000
2022-04-19,2022-04-17,TV (Non-English),Heirs to the Land,Heirs to the Land: Season 1,4,1,11810000
2022-04-26,2022-04-24,TV (English),Our Great National Parks,Our Great National Parks: Limited Series,10,2,11780000
2022-06-21,2022-06-19,TV (Non-English),Wrong Side of the Tracks,Wrong Side of the Tracks: Season 1,7,5,9680000
2022-06-28,2022-06-26,TV (English),The Umbrella Academy,The Umbrella Academy: Season 3,1,1,124530000
2022-04-05,2022-04-03,TV (English),Bridgerton,Bridgerton: Season 2,1,2,251740000
2022-05-31,2022-05-29,Films (English),Jackass 4.5,null,3,2,18540000
2022-06-14,2022-06-12,TV (English),All American,All American: Season 4,9,2,26690000
2022-05-17,2022-05-15,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10,23,9440000
2022-05-03,2022-05-01,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,9,10,9580000
2022-05-24,2022-05-22,Films (Non-English),Toscana,null,1,1,0
2022-06-14,2022-06-12,Films (English),The Amazing Spider-Man,null,4,2,8440000
2022-04-05,2022-04-03,Films (Non-English),Black Crab,null,2,3,11270000
2022-06-07,2022-06-05,Films (English),A Perfect Pairing,null,2,3,14410000
2022-04-19,2022-04-17,Films (Non-English),Fack ju Göhte 3,null,9,1,2400000
2022-06-28,2022-06-26,Films (Non-English),Through My Window,null,10,13,1500000
2022-05-03,2022-05-01,Films (Non-English),Bubble,null,3,1,4450000
2022-06-28,2022-06-26,TV (English),Stranger Things,Stranger Things 4,2,5,76910000
2022-05-03,2022-05-01,Films (Non-English),Furioza,null,5,4,2620000
2022-06-21,2022-06-19,TV (Non-English),Squid Game,Squid Game: Season 1,10,20,7480000
2022-04-26,2022-04-24,Films (English),Cleaner,null,10,2,4920000
2022-05-03,2022-05-01,Films (Non-English),Yaksha: Ruthless Operations,null,6,4,2520000
2022-04-12,2022-04-10,Films (Non-English),Enforcement,null,7,1,4020000
2022-05-10,2022-05-08,Films (English),365 Days,null,10,2,6290000
2022-05-31,2022-05-29,TV (English),"Love, Death & Robots","Love, Death & Robots: Volume 3",8,2,15390000
2022-06-28,2022-06-26,Films (Non-English),Bhool Bhulaiyaa 2,null,1,2,12290000
2022-04-12,2022-04-10,TV (English),Bridgerton,Bridgerton: Season 1,3,3,35760000
2022-06-07,2022-06-05,Films (English),Disappearance at Clifton Hill,null,7,1,8670000
2022-04-12,2022-04-10,TV (Non-English),Thirty-Nine,Thirty-Nine: Season 1,7,5,9040000
2022-06-28,2022-06-26,Films (Non-English),Centauro,null,4,2,6510000
2022-04-12,2022-04-10,TV (English),The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 1,2,1,43710000
2022-05-24,2022-05-22,TV (Non-English),Who Killed Sara?,Who Killed Sara?: Season 3,1,1,0
2022-04-12,2022-04-10,Films (English),Four Brothers,null,6,1,8170000
2022-06-21,2022-06-19,TV (English),Keep Sweet: Pray and Obey,Keep Sweet: Pray and Obey: Limited Series,7,2,27640000
2022-05-24,2022-05-22,TV (Non-English),Tomorrow,Tomorrow: Season 1,7,2,0
2022-05-17,2022-05-15,Films (Non-English),40 Years Young,null,9,2,2840000
2022-05-03,2022-05-01,Films (English),365 Days,null,4,1,10040000
2022-06-14,2022-06-12,Films (Non-English),Don,null,3,1,3640000
2022-06-07,2022-06-05,Films (Non-English),Jana Gana Mana,null,8,1,2230000
2022-05-31,2022-05-29,Films (Non-English),Jersey,null,5,2,5490000
2022-05-10,2022-05-08,TV (Non-English),Welcome to Eden,Welcome to Eden: Season 1,2,1,25820000
2022-05-17,2022-05-15,Films (Non-English),The Takedown,null,1,2,32370000
2022-06-28,2022-06-26,TV (English),Peaky Blinders,Peaky Blinders: Season 6,5,3,30350000
2022-06-07,2022-06-05,TV (English),All American,All American: Season 4,6,1,30640000
2022-06-21,2022-06-19,Films (Non-English),Belzebuth,null,10,2,1860000
2022-05-24,2022-05-22,Films (Non-English),Raw (Hindi),null,10,2,0
2022-04-26,2022-04-24,Films (English),Yakuza Princess,null,5,1,7490000
2022-06-21,2022-06-19,Films (Non-English),RRR (Hindi),null,7,5,3150000
2022-05-31,2022-05-29,TV (Non-English),Wrong Side of the Tracks,Wrong Side of the Tracks: Season 1,1,2,61620000
2022-04-26,2022-04-24,Films (English),Choose or Die,null,1,2,15260000
2022-05-31,2022-05-29,Films (English),Dangerous,null,4,2,11740000
2022-05-31,2022-05-29,Films (Non-English),RRR (Hindi),null,1,2,18360000
2022-04-26,2022-04-24,TV (Non-English),Business Proposal,Business Proposal: Season 1,4,7,20380000
2022-05-03,2022-05-01,TV (English),Conversations with a Killer: The John Wayne Gacy Tapes,Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,6,2,20910000
2022-05-17,2022-05-15,TV (Non-English),Our Blues,Our Blues: Season 1,6,3,10050000
2022-04-12,2022-04-10,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,10,7,6210000
2022-04-19,2022-04-17,TV (Non-English),Smother-in-Law,Smother-in-Law: Season 1,6,1,11070000
2022-05-10,2022-05-08,TV (Non-English),El marginal,El marginal: Season 5,4,1,13260000
2022-05-10,2022-05-08,TV (English),Grace and Frankie,Grace and Frankie: Season 7,2,2,23180000
2022-05-24,2022-05-22,TV (English),Stranger Things,null,10,1,0
2022-04-12,2022-04-10,TV (Non-English),Business Proposal,Business Proposal: Season 1,2,5,41460000
2022-05-10,2022-05-08,TV (Non-English),Business Proposal,Business Proposal: Season 1,3,9,19100000
2022-04-05,2022-04-03,Films (English),Shrek Forever After,null,7,1,7690000
2022-06-28,2022-06-26,Films (Non-English),Heart Parade,null,2,2,9100000
2022-06-28,2022-06-26,Films (Non-English),In Our Prime,null,9,1,1730000
2022-05-17,2022-05-15,Films (Non-English),Radhe Shyam (Hindi),null,10,2,1900000
2022-04-19,2022-04-17,Films (Non-English),Yaksha: Ruthless Operations,null,3,2,16380000
2022-04-19,2022-04-17,TV (Non-English),Happiness,null,7,1,10940000
2022-05-10,2022-05-08,TV (English),Blood Sisters,Blood Sisters: Limited Series,9,1,11070000
2022-04-19,2022-04-17,Films (Non-English),Furioza,null,1,2,17800000
2022-05-17,2022-05-15,TV (English),Savage Beauty,Savage Beauty: Season 1,9,1,10630000
2022-05-10,2022-05-08,Films (Non-English),Radhe Shyam (Hindi),null,7,1,3650000
2022-05-10,2022-05-08,Films (Non-English),I Swear It Wasn't Me,null,8,2,3650000
2022-05-03,2022-05-01,Films (Non-English),Through My Window,null,8,12,1990000
2022-04-26,2022-04-24,TV (English),Conversations with a Killer: The John Wayne Gacy Tapes,Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,3,1,37460000
2022-05-24,2022-05-22,TV (English),The Boss Baby: Back in the Crib,The Boss Baby: Back in the Crib: Season 1,3,1,0
2022-04-05,2022-04-03,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,8,6,9340000
2022-06-21,2022-06-19,TV (English),The Lincoln Lawyer,The Lincoln Lawyer: Season 1,9,6,17550000
2022-04-05,2022-04-03,TV (English),Bridgerton,Bridgerton: Season 1,2,2,53020000
2022-05-31,2022-05-29,Films (Non-English),Larva Pendant,null,9,1,3090000
2022-05-31,2022-05-29,TV (Non-English),Tomorrow,Tomorrow: Season 1,9,3,11120000
2022-05-10,2022-05-08,TV (English),Ozark,Ozark: Season 4,1,9,102120000
2022-04-19,2022-04-17,Films (English),The Adam Project,null,4,6,9270000
2022-04-19,2022-04-17,Films (English),A Dog's Way Home,null,10,1,5750000
2022-06-28,2022-06-26,TV (English),Stranger Things,null,6,6,29210000
2022-06-14,2022-06-12,Films (English),Chickenhare and the Hamster of Darkness,null,3,1,9820000
2022-06-28,2022-06-26,Films (English),The Mist,null,8,1,8400000
2022-05-17,2022-05-15,TV (English),The Lincoln Lawyer,The Lincoln Lawyer: Season 1,2,1,45090000
2022-05-10,2022-05-08,TV (Non-English),The 7 Lives of Lea,The 7 Lives of Lea: Season 1,5,2,12280000
2022-05-03,2022-05-01,Films (Non-English),Honeymoon with My Mother,null,2,1,10630000
2022-04-26,2022-04-24,Films (Non-English),The Turning Point,null,4,1,2810000
2022-06-21,2022-06-19,Films (Non-English),The Wrath of God,null,1,1,17230000
2022-05-17,2022-05-15,Films (English),Our Father,null,2,1,23870000
2022-05-24,2022-05-22,Films (English),Senior Year,null,1,2,0
2022-06-21,2022-06-19,TV (English),Stranger Things,Stranger Things 4,1,4,102260000
2022-04-12,2022-04-10,TV (Non-English),Elite,Elite: Season 5,1,1,51380000
2022-06-07,2022-06-05,TV (English),Bridgerton,Bridgerton: Season 2,9,11,9990000
2022-06-07,2022-06-05,TV (English),The Lincoln Lawyer,The Lincoln Lawyer: Season 1,5,4,42530000
2022-06-21,2022-06-19,Films (English),Trees of Peace,null,7,1,9380000
2022-05-03,2022-05-01,Films (Non-English),I Swear It Wasn't Me,null,9,1,1620000
2022-06-28,2022-06-26,Films (Non-English),Loca por el trabajo,null,6,2,3570000
2022-05-03,2022-05-01,Films (English),365 Days: This Day,null,1,1,77980000
2022-06-21,2022-06-19,TV (Non-English),Our Blues,Our Blues: Season 1,2,8,15000000
2022-06-07,2022-06-05,Films (English),Jackass 4.5,null,10,3,4820000
2022-05-24,2022-05-22,Films (English),Sonic the Hedgehog,null,4,4,0
2022-05-24,2022-05-22,Films (English),A Perfect Pairing,null,2,1,0
2022-05-31,2022-05-29,TV (Non-English),My Liberation Notes,My Liberation Notes: Season 1,5,2,13130000
2022-04-12,2022-04-10,Films (English),Return to Space,null,10,1,4550000
2022-04-26,2022-04-24,Films (Non-English),Dasvi,null,10,3,1620000
2022-04-26,2022-04-24,Films (English),The In Between,null,2,3,13350000
2022-04-12,2022-04-10,TV (English),The Last Kingdom,The Last Kingdom: Season 5,9,5,12970000
2022-04-12,2022-04-10,Films (English),The Blind Side,null,5,2,8710000
2022-04-12,2022-04-10,TV (English),Better Call Saul,Better Call Saul: Season 5,6,1,15170000
2022-06-28,2022-06-26,TV (English),Stranger Things,Stranger Things 3,3,5,32230000
2022-04-26,2022-04-24,TV (English),The Creature Cases,The Creature Cases: Season 1,8,1,13560000
2022-06-14,2022-06-12,Films (Non-English),CBI 5: The Brain,null,10,1,1710000
2022-05-24,2022-05-22,Films (Non-English),F*ck Love Too,null,5,1,0
2022-06-07,2022-06-05,Films (Non-English),Gangubai Kathiawadi,null,6,6,2840000
2022-05-10,2022-05-08,Films (Non-English),Honeymoon with My Mother,null,2,2,23240000
2022-05-10,2022-05-08,Films (English),The Mystery of Marilyn Monroe: The Unheard Tapes,null,7,2,7590000
2022-06-21,2022-06-19,TV (English),Stranger Things,Stranger Things 2,5,4,38660000
2022-05-17,2022-05-15,Films (English),Operation Mincemeat,null,5,1,12620000
2022-04-26,2022-04-24,Films (English),The Adam Project,null,6,7,7480000
2022-06-14,2022-06-12,Films (English),Deep Impact,null,9,1,6260000
2022-04-26,2022-04-24,TV (English),Married at First Sight,Married at First Sight: Season 10,9,1,12810000
2022-04-19,2022-04-17,TV (English),Our Great National Parks,Our Great National Parks: Limited Series,5,1,17090000
2022-05-10,2022-05-08,Films (English),Silverton Siege,null,3,2,11150000
2022-06-14,2022-06-12,TV (Non-English),As the Crow Flies,As the Crow Flies: Season 1,2,1,18310000
2022-05-17,2022-05-15,TV (English),Workin' Moms,Workin' Moms: Season 6,3,1,19190000
2022-05-31,2022-05-29,TV (English),Stranger Things,Stranger Things 3,4,1,24290000
2022-04-05,2022-04-03,TV (English),Inventing Anna,Inventing Anna: Limited Series,4,8,21960000
2022-06-28,2022-06-26,TV (Non-English),Intimacy,Intimacy: Season 1,2,3,16560000
2022-06-21,2022-06-19,TV (Non-English),"Malverde, El Santo Patron",null,3,2,12470000
2022-05-17,2022-05-15,TV (English),Selling Sunset,Selling Sunset: Season 5,7,4,10860000
2022-04-26,2022-04-24,Films (Non-English),In Good Hands,null,9,5,1700000
2022-06-21,2022-06-19,TV (English),Peaky Blinders,Peaky Blinders: Season 1,10,1,16420000
2022-06-07,2022-06-05,TV (Non-English),The Marked Heart,The Marked Heart: Season 1,6,7,9870000
2022-04-12,2022-04-10,TV (English),Inventing Anna,Inventing Anna: Limited Series,5,9,17320000
2022-06-28,2022-06-26,TV (Non-English),Money Heist: Korea - Joint Economic Area,Money Heist: Korea - Joint Economic Area: Season 1,1,1,33740000
2022-06-07,2022-06-05,Films (English),The Amazing Spider-Man,null,3,1,13500000
2022-05-03,2022-05-01,TV (English),Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,3,3,30170000
2022-05-17,2022-05-15,TV (English),Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,10,5,9670000
2022-05-31,2022-05-29,TV (English),Ozark,Ozark: Season 4,6,12,21910000
2022-06-14,2022-06-12,TV (English),First Kill,First Kill: Season 1,7,1,30340000
2022-05-10,2022-05-08,TV (English),Bullsh*t The Gameshow,Bullsh*t The Gameshow: Season 1,8,1,11850000
2022-06-07,2022-06-05,TV (English),Ozark,Ozark: Season 4,7,13,16770000
2022-05-10,2022-05-08,Films (Non-English),40 Years Young,null,4,1,6960000
2022-06-21,2022-06-19,Films (English),Hustle,null,1,2,57190000
2022-04-19,2022-04-17,Films (Non-English),All Hail,null,5,3,4320000
2022-05-31,2022-05-29,TV (Non-English),Who Killed Sara?,Who Killed Sara?: Season 1,3,2,14600000
2022-06-07,2022-06-05,TV (Non-English),Wrong Side of the Tracks,Wrong Side of the Tracks: Season 1,1,3,37160000
2022-05-03,2022-05-01,Films (Non-English),The Taming of the Shrewd,null,7,3,2400000
2022-05-31,2022-05-29,TV (Non-English),The Marked Heart,The Marked Heart: Season 1,6,6,12880000
2022-06-07,2022-06-05,Films (Non-English),The Takedown,null,4,5,3670000
2022-06-21,2022-06-19,Films (Non-English),Bhool Bhulaiyaa 2,null,5,1,4120000
2022-04-26,2022-04-24,Films (Non-English),All Hail,null,7,4,1920000
2022-05-24,2022-05-22,Films (Non-English),The Perfect Family,null,2,2,0
2022-04-12,2022-04-10,TV (English),Is It Cake?,Is It Cake?: Season 1,7,3,14760000
2022-05-17,2022-05-15,TV (Non-English),The Marked Heart,The Marked Heart: Season 1,2,4,28930000
2022-06-14,2022-06-12,TV (English),Stranger Things,Stranger Things 3,4,3,47600000
2022-05-03,2022-05-01,Films (Non-English),Gangubai Kathiawadi,null,1,1,13810000
2022-06-21,2022-06-19,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,6,18,9760000
2022-04-05,2022-04-03,Films (Non-English),Battle: Freestyle,null,6,1,3440000
2022-05-24,2022-05-22,TV (Non-English),The Marked Heart,The Marked Heart: Season 1,4,5,0
2022-05-03,2022-05-01,TV (English),Grace and Frankie,Grace and Frankie: Season 7,7,1,15470000
2022-05-31,2022-05-29,TV (English),The Boss Baby: Back in the Crib,The Boss Baby: Back in the Crib: Season 1,7,2,19890000
2022-05-31,2022-05-29,TV (Non-English),Business Proposal,Business Proposal: Season 1,10,12,9990000
2022-06-07,2022-06-05,Films (Non-English),Jersey,null,9,3,2110000
2022-04-19,2022-04-17,TV (English),Jimmy Savile: A British Horror Story,Jimmy Savile: A British Horror Story: Limited Series,9,2,11410000
2022-05-10,2022-05-08,TV (Non-English),Pedro el escamoso,Pedro el escamoso: Season 1,7,3,10080000
2022-04-05,2022-04-03,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,7,10,9430000
2022-04-26,2022-04-24,Films (Non-English),One Piece Film Z,null,5,1,2220000
2022-05-31,2022-05-29,TV (English),The Circle,The Circle: Season 4,10,3,10260000
2022-05-31,2022-05-29,Films (English),Ben Is Back,null,10,1,4610000
2022-04-05,2022-04-03,Films (Non-English),Without Saying Goodbye,null,5,3,3500000
2022-04-19,2022-04-17,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,3,8,14080000
2022-04-05,2022-04-03,Films (Non-English),Ya veremos,null,4,1,3850000
2022-05-31,2022-05-29,TV (Non-English),Our Blues,Our Blues: Season 1,7,5,12720000
2022-05-31,2022-05-29,Films (Non-English),Toscana,null,3,2,14000000
2022-05-03,2022-05-01,TV (English),Selling Sunset,Selling Sunset: Season 5,2,2,34310000
2022-05-24,2022-05-22,Films (Non-English),Cyber Hell: Exposing an Internet Horror,null,8,1,0
2022-04-19,2022-04-17,Films (English),Cleaner,null,9,1,6770000
2022-06-28,2022-06-26,TV (Non-English),Maldivas,Maldivas: Season 1,10,2,8460000
2022-05-10,2022-05-08,TV (Non-English),The Sound of Magic,The Sound of Magic: Season 1,8,1,9640000
2022-05-31,2022-05-29,Films (Non-English),F*ck Love Too,null,2,2,15600000
2022-05-03,2022-05-01,TV (English),Ozark,Ozark: Season 4,1,8,78400000
2022-04-26,2022-04-24,TV (Non-English),Hold Tight,Hold Tight: Limited Series,6,1,17320000
2022-04-05,2022-04-03,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,2,6,26210000
2022-05-10,2022-05-08,TV (English),Ozark,Ozark: Season 1,7,4,13640000
2022-05-03,2022-05-01,Films (English),Silverton Siege,null,2,1,20280000
2022-06-28,2022-06-26,TV (Non-English),The War Next-door,The War Next-door: Season 2,6,2,10150000
2022-04-26,2022-04-24,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,10,17,10390000
2022-04-12,2022-04-10,Films (Non-English),Dasvi,null,4,1,5690000
2022-05-17,2022-05-15,Films (Non-English),Raw (Hindi),null,5,1,4790000
2022-06-07,2022-06-05,Films (English),Sonic the Hedgehog,null,8,6,6500000
2022-04-19,2022-04-17,Films (English),Metal Lords,null,5,1,8740000
2022-06-21,2022-06-19,TV (Non-English),Maldivas,Maldivas: Season 1,5,1,11300000
2022-06-14,2022-06-12,TV (English),Stranger Things,null,3,4,50290000
2022-04-05,2022-04-03,Films (Non-English),Forever Out of My League,null,9,1,2770000
2022-05-17,2022-05-15,TV (Non-English),Tomorrow,Tomorrow: Season 1,9,1,9690000
2022-06-14,2022-06-12,TV (Non-English),Our Blues,Our Blues: Season 1,5,7,14910000
2022-06-07,2022-06-05,Films (Non-English),Luccas Neto em: O Plano dos Vilões,null,7,1,2490000
2022-04-12,2022-04-10,Films (English),How It Ends,null,8,1,5650000
2022-05-24,2022-05-22,TV (English),The Lincoln Lawyer,The Lincoln Lawyer: Season 1,1,2,0
2022-05-31,2022-05-29,Films (English),Turbo,null,8,1,5310000
2022-06-07,2022-06-05,TV (Non-English),Business Proposal,Business Proposal: Season 1,10,13,8270000
2022-06-21,2022-06-19,Films (English),Collision,null,6,1,12960000
2022-05-17,2022-05-15,Films (English),Along for the Ride,null,4,2,13310000
2022-05-17,2022-05-15,Films (English),Men in Black: International,null,10,2,4650000
2022-04-19,2022-04-17,TV (English),Queen of the South,Queen of the South: Season 5,7,2,13100000
2022-05-24,2022-05-22,Films (English),Marmaduke,null,7,3,0
2022-06-28,2022-06-26,Films (Non-English),CBI 5: The Brain,null,8,3,1770000
2022-06-28,2022-06-26,TV (Non-English),Our Blues,Our Blues: Season 1,8,9,9250000
2022-04-05,2022-04-03,Films (English),Blade Runner 2049,null,6,1,7850000
2022-06-21,2022-06-19,Films (Non-English),Heart Parade,null,3,1,12400000
2022-05-31,2022-05-29,Films (English),Top Gun,null,6,1,6440000
2022-05-03,2022-05-01,TV (Non-English),Yakamoz S-245,Yakamoz S-245: Season 1,5,2,13000000
2022-04-19,2022-04-17,TV (English),Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,3,1,40280000
2022-04-05,2022-04-03,Films (English),The Adam Project,null,1,4,17720000
2022-05-03,2022-05-01,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",8,21,9800000
2022-05-03,2022-05-01,TV (Non-English),The 7 Lives of Lea,The 7 Lives of Lea: Season 1,6,1,11230000
2022-06-07,2022-06-05,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",7,25,9400000
2022-04-05,2022-04-03,Films (English),The Blind Side,null,4,1,9880000
2022-05-17,2022-05-15,Films (English),Senior Year,null,1,1,55940000
2022-05-17,2022-05-15,Films (Non-English),Honeymoon with My Mother,null,4,3,6450000
2022-04-26,2022-04-24,TV (Non-English),Elite,Elite: Season 5,2,3,29490000
2022-05-10,2022-05-08,Films (English),Sonic the Hedgehog,null,2,2,17150000
2022-06-28,2022-06-26,Films (English),Collision,null,7,2,8450000
2022-04-19,2022-04-17,Films (Non-English),Black Crab,null,7,5,3040000
2022-04-26,2022-04-24,TV (Non-English),Happiness,null,8,2,10820000
2022-05-03,2022-05-01,TV (Non-English),Elite,Elite: Season 5,4,4,14890000
2022-06-21,2022-06-19,Films (English),Senior Year,null,10,6,4200000
2022-05-24,2022-05-22,TV (English),Savage Beauty,Savage Beauty: Season 1,9,2,0
2022-05-24,2022-05-22,Films (Non-English),RRR (Hindi),null,6,1,0
2022-06-14,2022-06-12,Films (Non-English),Gladbeck: The Hostage Crisis,null,9,1,1830000
2022-06-07,2022-06-05,TV (Non-English),SHAMAN KING,SHAMAN KING: Season 1,9,2,8770000
2022-06-21,2022-06-19,TV (English),Peaky Blinders,Peaky Blinders: Season 6,2,2,61360000
2022-05-03,2022-05-01,Films (English),The Vault,null,5,3,6660000
2022-06-14,2022-06-12,TV (Non-English),The Perfect Mother,The Perfect Mother: Season 1,3,2,16150000
2022-05-10,2022-05-08,TV (English),Heartstopper,Heartstopper: Season 1,6,3,14970000
2022-06-21,2022-06-19,TV (English),God's Favorite Idiot,God's Favorite Idiot: Season 1,8,1,22480000
2022-06-21,2022-06-19,Films (English),Halftime,null,4,1,18880000
2022-04-12,2022-04-10,Films (Non-English),Retfærdighedens ryttere,null,9,1,3710000
2022-04-05,2022-04-03,Films (English),The Bubble,null,2,1,12450000
2022-05-10,2022-05-08,TV (English),Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,5,4,15340000
2022-06-07,2022-06-05,TV (Non-English),Our Blues,Our Blues: Season 1,4,6,12910000
2022-05-10,2022-05-08,TV (English),Bridgerton,Bridgerton: Season 2,3,7,21240000
2022-04-26,2022-04-24,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",9,20,10490000
2022-05-24,2022-05-22,Films (Non-English),The Takedown,null,3,3,0
2022-06-07,2022-06-05,TV (Non-English),Who Killed Sara?,Who Killed Sara?: Season 3,2,3,15570000
2022-06-14,2022-06-12,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",9,26,9680000
